Number,Name,Address,Gu,Gu2,Latitude,Longitude,Insta_tag,Multiflex_no,Traffic_subway,Traffic_subway_no,Traffic_subway_connection,Traffic_bus_green,Traffic_bus_red,Traffic_bus_blue,Traffic_bus_express,Traffic_bus_shuttle,Traffic_no,Car,Feeding,Stroller,Revenue(원),Store,Floor,Total area,Operation,Search_Word
31,롯데마트 행당역점,대한민국 서울특별시 성동구 행당동 행당로 82,,성동구,37.556601,127.028789,,,,,,,,,,,,,,,,,,,,
32,롯데마트 월드타워점,대한민국 서울특별시 송파구 신천동,,송파구,37.520071,127.0995,,,,,,,,,,,,,,,,,,,,
33,롯데마트 은평점,대한민국 서울특별시 은평구 진관동 79-15,,은평구,37.637607,126.917557,,,,,,,,,,,,,,,,,,,,
34,롯데마트 양평점,대한민국 서울특별시 영등포구 양평1동 선유로 138,,영등포구,37.52604,126.891734,,,,,,,,,,,,,,,,,,,,
35,이마트 SSG 청담점,대한민국 서울특별시 강남구 청담동 도산대로 442,,강남구,37.523286,127.044116,,,,,,,,,,,,,,,,,,,,
36,이마트 가든5점,대한민국 서울특별시 송파구 문정2동 충민로 10,,송파구,37.478232,127.11937,,,,,,,,,,,,,,,,,,,,
37,이마트 가양점,대한민국 서울특별시 강서구 가양3동 양천로 559,,강서구,37.557897,126.862298,,,,,,,,,,,,,,,,,,,,
38,이마트 구로점,대한민국 서울특별시 구로구 구로3동 디지털로32길 43,,구로구,37.484354,126.89788,,,,,,,,,,,,,,,,,,,,
39,이마트 마포점,대한민국 서울특별시 마포구 공덕동 백범로 212,,마포구,37.542427,126.953369,,,,,,,,,,,,,,,,,,,,
40,이마트 명일점,대한민국 서울특별시 강동구 명일2동 고덕로 276,,강동구,37.554652,127.155752,,,,,,,,,,,,,,,,,,,,
41,이마트 목동점,대한민국 서울특별시 양천구 목1동 오목로 299,,양천구,37.525776,126.870327,,,,,,,,,,,,,,,,,,,,
42,이마트 묵동점,대한민국 서울특별시 중랑구 묵1동 동일로 932,,중랑구,37.613797,127.077503,,,,,,,,,,,,,,,,,,,,
43,이마트 미아점,대한민국 서울특별시 성북구 길음2동 도봉로 17,,성북구,37.610865,127.029605,,,,,,,,,,,,,,,,,,,,
44,이마트 상봉점,대한민국 서울특별시 중랑구 망우동 상봉로 118,,중랑구,37.596438,127.09359,,,,,,,,,,,,,,,,,,,,
45,이마트 성수점,대한민국 서울특별시 성동구 성수2가1동 뚝섬로 379,,성동구,37.539939,127.053167,,,,,,,,,,,,,,,,,,,,
46,이마트 수색점,대한민국 서울특별시 은평구 수색동 수색로 217,,은평구,37.579599,126.898721,,,,,,,,,,,,,,,,,,,,
47,이마트 수서점,대한민국 서울특별시 강남구 수서동 광평로 280,,강남구,37.487283,127.103109,,,,,,,,,,,,,,,,,,,,
48,이마트 스타수퍼도곡점,대한민국 서울특별시 강남구 도곡동 467-17,,강남구,37.488601,127.052964,,,,,,,,,,,,,,,,,,,,
49,이마트 신도림점,"-dong, 3-27 구로5동 구로구 서울특별시 대한민국",,구로구,37.506942,126.890257,,,,,,,,,,,,,,,,,,,,
50,이마트 신월점,대한민국 서울특별시 양천구 신월5동 화곡로 59,,양천구,37.539714,126.828513,,,,,,,,,,,,,,,,,,,,
51,이마트 양재점,대한민국 서울특별시 서초구 양재2동 매헌로 16,,서초구,37.462953,127.036958,,,,,,,,,,,,,,,,,,,,
52,이마트 여의도점,대한민국 서울특별시 영등포구 여의도동 여의동로3길 10,,영등포구,37.518137,126.92613,,,,,,,,,,,,,,,,,,,,
53,이마트 역삼점,대한민국 서울특별시 강남구 역삼2동 역삼로 310,,강남구,37.499224,127.048424,,,,,,,,,,,,,,,,,,,,
54,이마트 영등포점,대한민국 서울특별시 영등포구 영등포동 영중로 15,,영등포구,37.517007,126.904142,,,,,,,,,,,,,,,,,,,,
55,이마트 왕십리점,대한민국 서울특별시 성동구 행당1동 왕십리광장로 17,,성동구,37.561731,127.03838,,,,,,,,,,,,,,,,,,,,
56,이마트 용산점,대한민국 서울특별시 용산구 한강로3가 한강대로23길 55,,용산구,37.528854,126.964045,,,,,,,,,,,,,,,,,,,,
57,이마트 월계점,대한민국 서울특별시 노원구 월계3동 마들로3길 15,,노원구,37.62644,127.061909,,,,,,,,,,,,,,,,,,,,
58,이마트 은평점,대한민국 서울특별시 은평구 응암동 90-1,,은평구,37.600307,126.920113,,,,,,,,,,,,,,,,,,,,
59,이마트 이문점,대한민국 서울특별시 동대문구 이문1동 이문로 136,,동대문구,37.598451,127.061848,,,,,,,,,,,,,,,,,,,,
60,이마트 이수점,대한민국 서울특별시 동작구 사당동 동작대로21길 24,,동작구,37.483983,126.980408,,,,,,,,,,,,,,,,,,,,
61,이마트 자양점,대한민국 서울특별시 광진구 자양동 아차산로 272,,광진구,37.537613,127.072618,,,,,,,,,,,,,,,,,,,,
62,이마트 창동점,대한민국 서울특별시 도봉구 창5동 노해로65길 4,,도봉구,37.651682,127.046933,,,,,,,,,,,,,,,,,,,,
63,이마트 천호점,대한민국 서울특별시 강동구 천호2동 천호대로 1017,,강동구,37.538648,127.125367,,,,,,,,,,,,,,,,,,,,
64,이마트 청계천점,대한민국 서울특별시 중구 황학동 청계천로 400,,중구,37.570873,127.021328,,,,,,,,,,,,,,,,,,,,
65,이마트 하월곡점,대한민국 서울특별시 성북구 종암로,,성북구,37.602119,127.033213,,,,,,,,,,,,,,,,,,,,
66,신세계백화점 본점,대한민국 서울특별시 중구 명동 소공로 63,,중구,37.560901,126.980989,,,,,,,,,,,,,,,,,,,,
67,신세계백화점 강남점,대한민국 서울특별시 서초구 반포4동 신반포로 176,,서초구,37.50413,127.003069,,,,,,,,,,,,,,,,,,,,
68,신세계백화점 영등포점,대한민국 서울특별시 영등포구 영등포동 영중로 9,,영등포구,37.517148,126.905563,,,,,,,,,,,,,,,,,,,,
69,현대백화점 압구정 본점,대한민국 서울특별시 강남구 신사동 압구정로 165,,강남구,37.527327,127.027427,,,,,,,,,,,,,,,,,,,,
70,현대백화점 무역센터점,대한민국 서울특별시 강남구 삼성1동 테헤란로 517,,강남구,37.508615,127.059781,,,,,,,,,,,,,,,,,,,,
71,현대백화점 천호점,대한민국 서울특별시 강동구 천호2동 천호대로 1005,,강동구,37.538801,127.124372,,,,,,,,,,,,,,,,,,,,
72,현대백화점 신촌점,대한민국 서울특별시 서대문구 신촌동 신촌로 83,,서대문구,37.556074,126.935798,,,,,,,,,,,,,,,,,,,,
73,현대백화점 미아점,대한민국 서울특별시 성북구 길음2동 동소문로 315,,성북구,37.608322,127.028763,,,,,,,,,,,,,,,,,,,,
